index,filename,label,group
0,OIP-Fca4hyTRF3AH1LJEmKu5XQHaJy.jpeg,scoiattolo,train
1,OIP-f3CIIDud84uLe7moXJoLpwHaEK.jpeg,scoiattolo,train
2,OIP-fdxxFJj6J9SIa5xj9EEkQgAAAA.jpeg,scoiattolo,train
3,OIP-Lmn_f6-oxLDQ-a90Uy8W6AHaEK.jpeg,scoiattolo,train
4,OIP-EjkbQePwYlxHPyvxrAh8WwHaFj.jpeg,scoiattolo,train
5,OIP-VJ0c8wSN4J2A0G-YW5SkcQAAAA.jpeg,scoiattolo,train
6,OIP-gve5d6Xlkq1t-tV7EoWOLAHaFj.jpeg,scoiattolo,train
7,OIP-t0Ts9tnIKGeolDWaSj14yAHaFQ.jpeg,scoiattolo,train
8,OIP-QengzVaxTZXMyNt5Mck8FQHaFj.jpeg,scoiattolo,train
9,OIP-pJUVMw21Lh3omXD1kBZBTAHaFK.jpeg,scoiattolo,train
10,OIP-2osjoOVq9qOk4pLqfrHT4QHaEX.jpeg,scoiattolo,train
11,OIP-nhEcvB3F3JPAxCA1f1ZgGwHaE0.jpeg,scoiattolo,train
12,OIP-a20rv-KRkBjwrnYBTAViVQHaHD.jpeg,scoiattolo,train
13,OIP-wfRnLbBjlypvU2O067r5wAHaE8.jpeg,scoiattolo,train
14,OIP-KDeIGUUWkUT63hJq3G-ByQHaFj.jpeg,scoiattolo,train
15,OIP-m2E4icumOZWcxEcgQaVVeAHaFj.jpeg,scoiattolo,train
16,OIP-AE4nYtfcEGMcAJFPwBf7XgHaF7.jpeg,scoiattolo,train
17,OIP-e6VoWq3Lbulj13C_OObg9AHaFj.jpeg,scoiattolo,train
18,OIP-npV4W7ANBWFJGlAEPRgj-wHaJ4.jpeg,scoiattolo,train
19,OIP-UpBYTMo4ucl5H6xwijnF6wHaFj.jpeg,scoiattolo,train
20,OIP-o43xVB_Hq5SceYmGgjS36AHaFN.jpeg,scoiattolo,train
21,OIP-4Vj0oEOHmtkhJWuwFil55gHaEo.jpeg,scoiattolo,train
22,OIP-DqC50ZoKdkrfY9ZIEMezywHaE8.jpeg,scoiattolo,train
23,OIP-vS7h2mfcV8YNT7xwJltTcAHaFj.jpeg,scoiattolo,train
24,OIP-uTQvk4Idu2YOnNMc_XahOQHaE7.jpeg,scoiattolo,train
25,OIP-H1x6j7EKVC4aHKo5envmUQHaFj.jpeg,scoiattolo,train
26,OIP-lUM1Yndsgm1B5M0ICexR0wHaEK.jpeg,scoiattolo,train
27,OIP-wYAQ5t0n29TRNPZleLxTDgHaE8.jpeg,scoiattolo,train
28,OIP-BXvV19ePO_4XRK8Yyw8W2QHaFG.jpeg,scoiattolo,train
29,OIP-YkTZSqE8grCOl8j0wjQzuAAAAA.jpeg,scoiattolo,train
30,OIP-ADOooAvJ5Vag13ol8mDKVAHaE8.jpeg,scoiattolo,train
31,OIP-8ERZT6Kt-ekGWgeZQo32EgHaE7.jpeg,scoiattolo,train
32,OIP-gfbUxTjrg2kTuMLatC9jtgHaK0.jpeg,scoiattolo,train
33,OIP-mLi18cVKGEFeAJlpODTbMgHaE8.jpeg,scoiattolo,train
34,OIP-BQpq4GqS0C8nUstAXJZ14wAAAA.jpeg,scoiattolo,train
35,OIP-yPnoy1IkDhxesASdsRhxqwAAAA.jpeg,scoiattolo,train
36,OIP-gUOJmdM7paELIPRtMeUq8wEgDY.jpeg,scoiattolo,train
37,OIP-ONGt9rmw2L13rFoNTfNpTQHaFD.jpeg,scoiattolo,train
38,OIP-_GGhpT1ecnjpxh5w86ainwHaE7.jpeg,scoiattolo,train
39,OIP-XQWwi7XmmHr13OVpGlyMMgAAAA.jpeg,scoiattolo,train
40,OIP-kyJyDf3Kim0C98MdWE0znwHaFn.jpeg,scoiattolo,train
41,OIP-e7Vem51OkXzkfsWrlj32aAHaEK.jpeg,scoiattolo,train
42,OIP-KV4KUhQbkCy5jS1hD4bg-AHaFj.jpeg,scoiattolo,train
43,OIP-ZF_JKz4JANMMO5hoGFtbsAHaE9.jpeg,scoiattolo,train
44,OIP-PKHz3rBRYVusFeeBInT49QHaFa.jpeg,scoiattolo,train
45,OIP-9hESrJ9O_GehhnJOiiLaIwHaHa.jpeg,scoiattolo,train
46,OIP-9EAcnqh2TD947e2vVZzdPAHaFj.jpeg,scoiattolo,train
47,OIP-SZvt6vvjOJNlYwcuA5mXdQHaFj.jpeg,scoiattolo,train
48,OIP-o4fTJJZWx5Vv83-3Rn9zXgHaE8.jpeg,scoiattolo,train
49,OIP-RSbIyWoiWn-KnVpZxxnYTAHaE8.jpeg,scoiattolo,train
50,OIP-GxrbJfsoMwR4zGis6AaStgHaDt.jpeg,scoiattolo,train
51,OIP-15KJNiOIM9ocsns6Ik3w4AHaFj.jpeg,scoiattolo,train
52,OIP-0Uv9fHtfrWNxQl-kChx4wwHaGL.jpeg,scoiattolo,train
53,OIP-rUB_pvG91ivgnixJAid5BQHaF7.jpeg,scoiattolo,train
54,OIP-voYmvU-8aA42y8gTp2w5LgHaE8.jpeg,scoiattolo,train
55,OIP-s2AqVkXu4DD9vTEvOtmBCQHaKO.jpeg,scoiattolo,train
56,OIP-pPNT2MCKFfteNzvPkV8f6wHaHa.jpeg,scoiattolo,train
57,OIP-dras00g1kOMPvwETmLOKXAHaL3.jpeg,scoiattolo,train
58,OIP-ob0dU17LUS_JlRWliIR3UAHaFj.jpeg,scoiattolo,train
59,OIP-g-MHJqKQonz0Ehun6EOyhwHaFc.jpeg,scoiattolo,train
60,OIP-OGxlio_YonmUUZ9NWq56zwHaFj.jpeg,scoiattolo,train
61,OIP-giGVzq2_HiDovmKkibLwYwHaE6.jpeg,scoiattolo,train
62,OIP-m5ByJApS8VDmDgrmRbJbfAHaFj.jpeg,scoiattolo,train
63,OIP-7UJhWeq756brRrFZsczCdgHaEj.jpeg,scoiattolo,train
64,OIP-S7jCR9B6MNr4H3EMbPoQTQAAAA.jpeg,scoiattolo,train
65,OIP-IBBCFwoJa7fvjZJS2KZgkAHaEo.jpeg,scoiattolo,train
66,OIP-x_19ZG16UzgBUjdOouHrbAHaE6.jpeg,scoiattolo,train
67,OIP-bqvV9Aot2ZsDcWK1w84HZQHaE8.jpeg,scoiattolo,train
68,OIP-Z3L_2AYJiiAf6UberJpaFwHaE-.jpeg,scoiattolo,train
69,OIP-wCITkw6fPpEzkMFY3L-nNQHaGc.jpeg,scoiattolo,train
70,OIP-mAqyc3B5YdvIlKww8K7XRgAAAA.jpeg,scoiattolo,train
71,OIP-x5isiNLWifFz78xdkMvUwgHaFj.jpeg,scoiattolo,train
72,OIP--rboIGGKYIErRUik0zj0CAHaFf.jpeg,scoiattolo,train
73,OIP-gG3RQNFM4XGw7lMWkFbPTwAAAA.jpeg,scoiattolo,train
74,OIP-p6tDyGq84AtuKbpmUAPBJAHaE_.jpeg,scoiattolo,train
75,OIP-5dz_fsFhAOy_AKk9x90i8QHaFi.jpeg,scoiattolo,train
76,OIP-BsK6fUt9D6lGsbdCT4i-tAHaFj.jpeg,scoiattolo,train
77,OIP-iLaOyV95KDJJm5QzIHt3RQHaLH.jpeg,scoiattolo,train
78,OIP-KU900I-kS-tsT6EJAU1yAQHaGo.jpeg,scoiattolo,train
